County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location
Albany,725597,Store,A     ,DOLLAR TREE STORES INC           ,DOLLAR TREE #1017      ,180,"DELAWARE AVE, DELAWARE PLAZA ",             ,               ,DELMAR            ,NY,12054,3000,"{'human_address': '{""address"":""180 DELAWARE AVE"",""city"":""DELMAR"",""state"":""NY"",""zip"":""12054""}', 'latitude': '42.62889', 'longitude': '-73.811645', 'needs_recoding': False}"
Albany,725467,Store,A     ,DOLGENCORP OF NEW YORK INC       ,DOLLAR GENERAL 16872   ,1939,CENTRAL AVE                 ,             ,               ,ALBANY            ,NY,12205,5500,"{'human_address': '{""address"":""1939 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.73863', 'longitude': '-73.85682', 'needs_recoding': False}"
Albany,725448,Store,JAC   ,PRESTIGE PETROLEUM CORP          ,PRESTIGE PETROLEUM     ,791,NEW SCOTLAND AVE             ,             ,               ,ALBANY            ,NY,12208,1200,"{'human_address': '{""address"":""791 NEW SCOTLAND AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12208""}', 'latitude': '42.658259', 'longitude': '-73.815081', 'needs_recoding': False}"
Albany,730727,Store,JAC   ,RUNC SUPERMARKET INC             ,RUNC SUPERMARKET       ,462,TROY SCHENECTADY ROAD    ,             ,               ,LATHAM            ,NY,12110,2000,"{'human_address': '{""address"":""462 TROY SCHENECTADY ROAD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.746593', 'longitude': '-73.758163', 'needs_recoding': False}"
Albany,725390,Store,A     ,ALBANY DOLLAR INC                ,DOLLAR N THINGS        ,1,CROSSGATES MALL RD             ,             ,               ,ALBANY            ,NY,12203,3000,"{'human_address': '{""address"":""1 CROSSGATES MALL RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.687038', 'longitude': '-73.850605', 'needs_recoding': False}"
Albany,730735,Store,A     ,PERUNOVIC MIODRAG                ,MICKEYS CORNER         ,6,EMPIRE STATE PLAZA         ,             ,               ,ALBANY            ,NY,12228,0,"{'human_address': '{""address"":""6 EMPIRE STATE PLAZA"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12228""}', 'needs_recoding': False}"
Albany,734210,Store,A     ,M&M FOOD MART INC                ,M&M MART               ,591,BROADWAY                     ,             ,               ,ALBANY            ,NY,12204,300,"{'human_address': '{""address"":""591 BROADWAY"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12204""}', 'latitude': '42.704332', 'longitude': '-73.714362', 'needs_recoding': False}"
Albany,725271,Store,JAC   ,MORAN FOODS LLC                  ,SAVE A LOT #8035       ,612,CENTRAL AVE                  ,             ,               ,ALBANY            ,NY,12206,16500,"{'human_address': '{""address"":""612 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.672911', 'longitude': '-73.781815', 'needs_recoding': False}"
Albany,720471,Store,JAC   ,CAPITAL AREA HOSPITALITY LLC     ,STEUBEN ST MARKET      ,58,N PEARL ST                ,             ,               ,ALBANY            ,NY,12207,0,"{'human_address': '{""address"":""58 N PEARL ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12207""}', 'latitude': '42.651592', 'longitude': '-73.751504', 'needs_recoding': False}"
Albany,721942,Store,JAC   ,D.B. CORNER MART LLC             ,CORNER MART            ,91,SOUTHERN BLVD                 ,             ,               ,ALBANY            ,NY,12209,1200,"{'human_address': '{""address"":""91 SOUTHERN BLVD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12209""}', 'latitude': '42.636808', 'longitude': '-73.78367', 'needs_recoding': False}"
Albany,723927,Store,JAC   ,ADVANCED FRESH CONCEPTS FRAN CORP,AFC SUSHI@ PRICE CHOPPE,2080,WESTERN AVE                 ,             ,               ,GUILDERLAND       ,NY,12084,400,"{'human_address': '{""address"":""2080 WESTERN AVE"",""city"":""GUILDERLAND"",""state"":""NY"",""zip"":""12084""}', 'latitude': '42.698502', 'longitude': '-73.89159', 'needs_recoding': False}"
Albany,725731,Store,JAC   ,SANG CHO                         ,JANG TUH ASIAN GROCERY ,724,NEW LOUDON RD            ,             ,               ,LATHAM            ,NY,12110,3000,"{'human_address': '{""address"":""724 NEW LOUDON RD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.740733', 'longitude': '-73.762044', 'needs_recoding': False}"
Albany,722623,Store,A     ,ALDI INC                         ,ALDI #81               ,1885,CENTRAL AVENUE              ,             ,               ,ALBANY            ,NY,12205,1700,"{'human_address': '{""address"":""1885 CENTRAL AVENUE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.734676', 'longitude': '-73.852306', 'needs_recoding': False}"
Albany,732254,Store,JAC   ,7 ELEVEN INC                     ,SUNOCO #40196H         ,57,EXCHANGE ST AT EVERETT        ,             ,               ,ALBANY            ,NY,12205,1100,"{'human_address': '{""address"":""57 EXCHANGE ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.685191', 'longitude': '-73.783307', 'needs_recoding': False}"
Albany,723246,Store,JAC   ,ALIBABA HALAL MEAT & GROCERIES LL,ALIBABA HALAL MEAT & GR,21,CENTRAL AVE                   ,             ,               ,ALBANY            ,NY,12210,1500,"{'human_address': '{""address"":""21 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12210""}', 'latitude': '42.657566', 'longitude': '-73.764261', 'needs_recoding': False}"
Albany,723051,Store,JAC   ,BENTO NOUVEAU INC                ,BENTO SUSHI            ,5239,WESTERN TPK                 ,             ,               ,ALTAMONT          ,NY,12009,400,"{'human_address': '{""address"":""5239 WESTERN TPK"",""city"":""ALTAMONT"",""state"":""NY"",""zip"":""12009""}', 'latitude': '42.715686', 'longitude': '-73.934476', 'needs_recoding': False}"
Albany,723047,Store,JAC   ,BENTO NOUVEAU INC                ,BENTO SUSHI            ,180,DELAWARE AVE                 ,             ,               ,DELMAR            ,NY,12054,400,"{'human_address': '{""address"":""180 DELAWARE AVE"",""city"":""DELMAR"",""state"":""NY"",""zip"":""12054""}', 'latitude': '42.62889', 'longitude': '-73.811645', 'needs_recoding': False}"
Albany,723046,Store,JAC   ,BENTO NOUVEAU INC                ,BENTO SUSHI            ,96,WOLF RD                       ,             ,               ,ALBANY            ,NY,12205,400,"{'human_address': '{""address"":""96 WOLF RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.716008', 'longitude': '-73.810596', 'needs_recoding': False}"
Albany,731463,Store,JAC   ,SHREE SANDERI INC                ,NOOR MART              ,1010,19TH STREET                 ,             ,               ,WATERVLIET        ,NY,12189,1100,"{'human_address': '{""address"":""1010 19TH STREET"",""city"":""WATERVLIET"",""state"":""NY"",""zip"":""12189""}', 'latitude': '42.733018', 'longitude': '-73.71175', 'needs_recoding': False}"
Albany,723024,Store,JAC   ,E & D AFRICAN MARKET LLC         ,E & D AFRICAN MARKET   ,617,CENTRAL AVE                  ,             ,               ,ALBANY            ,NY,12206,2000,"{'human_address': '{""address"":""617 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.673848', 'longitude': '-73.782894', 'needs_recoding': False}"
Albany,722893,Store,JAC   ,88 WOLF RD INC                   ,WOLF RD MOBIL          ,88,WOLF RD                       ,             ,               ,ALBANY            ,NY,12205,1500,"{'human_address': '{""address"":""88 WOLF RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.715359', 'longitude': '-73.81165', 'needs_recoding': False}"
Albany,722820,Store,JAC   ,FELIPITO MERCEDES                ,CHICO CHICKEN DELI & GR,333,SOUTH PEARL ST               ,             ,               ,ALBANY            ,NY,12202,1500,"{'human_address': '{""address"":""333 SOUTH PEARL ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12202""}', 'latitude': '42.640383', 'longitude': '-73.757649', 'needs_recoding': False}"
Albany,722740,Store,JAC   ,HELDERBERG MOUNTAIN BREWING COMPA,HELDERBERG MOUNTAIN BRE,141,WARNERS LAKE RD SUITE 1      ,             ,               ,EAST BERNE        ,NY,12059,800,"{'human_address': '{""address"":""141 WARNERS LAKE RD"",""city"":""EAST BERNE"",""state"":""NY"",""zip"":""12059""}', 'latitude': '42.630263', 'longitude': '-74.078872', 'needs_recoding': False}"
Albany,732040,Store,JAC   ,RAFIK DELI INC                   ,RAFIK DELI             ,109,CENTRAL AVE                  ,             ,               ,ALBANY            ,NY,12206,0,"{'human_address': '{""address"":""109 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.659806', 'longitude': '-73.766843', 'needs_recoding': False}"
Albany,723274,Store,JAC   ,BENTO NOUVEAU INC                ,BENTO SUSHI            ,579,TROY SCHENECTADY RD          ,             ,               ,LATHAM            ,NY,12110,100,"{'human_address': '{""address"":""579 TROY SCHENECTADY RD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.752101', 'longitude': '-73.766837', 'needs_recoding': False}"
Albany,721638,Store,A     ,HARI & AADI CO                   ,GARY COUNTRY FARM      ,821,NEW SCOTLAND AVE             ,             ,               ,ALBANY            ,NY,12208,2000,"{'human_address': '{""address"":""821 NEW SCOTLAND AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12208""}', 'latitude': '42.657939', 'longitude': '-73.815329', 'needs_recoding': False}"
Albany,732883,Store,JAC   ,DEEDEES NEWS & DELI LLC          ,COULSON'S NEWS & DELI  ,420,BROADWAY                     ,             ,               ,ALBANY            ,NY,12207,2200,"{'human_address': '{""address"":""420 BROADWAY"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12207""}', 'latitude': '42.648564', 'longitude': '-73.750777', 'needs_recoding': False}"
Albany,722581,Store,JAC   ,D & L DREAMS                     ,CHOPS & HOPS           ,1214,TROY SCHENECTADY ROAD       ,             ,               ,LATHAM            ,NY,12110,240,"{'human_address': '{""address"":""1214 TROY SCHENECTADY ROAD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.771902', 'longitude': '-73.823151', 'needs_recoding': False}"
Albany,734730,Store,A     ,BROOKS ANGELA                    ,GEORGIAS SUGAR SHACK   ,50,WOLF ROAD               ,             ,               ,ALBANY            ,NY,12223,0,"{'human_address': '{""address"":""50 WOLF ROAD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12223""}', 'latitude': '42.713167', 'longitude': '-73.815194', 'needs_recoding': False}"
Albany,734731,Store,A     ,BROOKS CAITLYN                   ,KATIES PATH 2 SNACKS   ,160,STATE ST JUSTICE BLVD  ,             ,               ,ALBANY            ,NY,12223,600,"{'human_address': '{""address"":""160 STATE ST JUSTICE BLVD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12223""}', 'needs_recoding': False}"
Albany,734908,Store,JAC   ,HALAL SUPERMARKET INC            ,SHOP&SAVE HALAL SUPERMA,688D,NEW LOUDON RD             ,             ,               ,LATHAM            ,NY,12110,0,"{'human_address': '{""address"":""688D NEW LOUDON RD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.738083', 'longitude': '-73.76217', 'needs_recoding': False}"
Albany,731809,Store,JAC   ,SBINTZ SPENWOOD LLC              ,THE CHEESE TRAVELER    ,540,DELAWARE AVE  LEFT SIDE,             ,               ,ALBANY            ,NY,12209,1100,"{'human_address': '{""address"":""540 DELAWARE AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12209""}', 'latitude': '42.638603', 'longitude': '-73.788523', 'needs_recoding': False}"
Albany,734738,Store,JAC   ,A PINCH OR A POUND LLC           ,A PINCH OR A POUND ALBA,1,CROSSGATES MALL RD             ,             ,               ,ALBANY            ,NY,12203,0,"{'human_address': '{""address"":""1 CROSSGATES MALL RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.687038', 'longitude': '-73.850605', 'needs_recoding': False}"
